,date,web-link,text,Year,Month
85,2024-12-28,?id22=667707,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-39-01793-A-001P",2024,12
86,2024-12-28,?id22=667705,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-38-01793-A-001P",2024,12
87,2024-12-28,?id22=667703,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-37-01793-A-001P",2024,12
88,2024-12-28,?id22=667701,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-36-01793-A-001P",2024,12
89,2024-12-28,?id22=667699,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-35-01793-A-001P",2024,12
90,2024-12-28,?id22=667697,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 6-1410-01000-B-001P",2024,12
91,2024-12-28,?id22=667695,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 6-1409-01000-B-001P",2024,12
92,2024-12-28,?id22=667693,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 6-1408-01000-B-001P",2024,12
93,2024-12-28,?id22=667691,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 6-1407-01000-B-001P",2024,12
94,2024-12-28,?id22=667689,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 6-1406-01000-B-001P",2024,12
95,2024-12-28,?id22=667687,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 6-1405-01000-B-001P",2024,12
96,2024-12-28,?id22=667685,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 6-1404-01000-B-001P",2024,12
97,2024-12-28,?id22=667683,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 6-1403-01000-B-001P",2024,12
98,2024-12-28,?id22=667681,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 6-1402-01000-B-001P",2024,12
99,2024-12-28,?id22=667679,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 6-1401-01000-B-001P",2024,12
100,2024-12-28,?id22=667677,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 4B02-870-01000-B-005P",2024,12
101,2024-12-27,?id22=667671,"О присвоении ISIN кода облигациям ООО ""ОЙЛ РЕСУРС ГРУПП"", выпуск 4B02-01-00146-L-001P",2024,12
102,2024-12-27,?id22=667669,"О присвоении ISIN кода облигациям ООО ""СФО БКС Структурные Ноты"", выпуск 6-62-00508-R",2024,12
103,2024-12-27,?id22=667667,"О присвоении ISIN кода облигациям ООО ""СФО БКС Структурные Ноты"", выпуск 6-61-00508-R",2024,12
104,2024-12-27,?id22=667665,"О присвоении ISIN кода облигациям ООО ""СФО БКС Структурные Ноты"", выпуск 6-60-00508-R",2024,12
105,2024-12-27,?id22=667663,"О присвоении ISIN кода облигациям ООО ""СФО БКС Структурные Ноты"", выпуск 6-59-00508-R",2024,12
106,2024-12-27,?id22=667661,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-606-01326-B-001P",2024,12
107,2024-12-27,?id22=667659,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-605-01326-B-001P",2024,12
108,2024-12-27,?id22=667657,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-604-01326-B-001P",2024,12
109,2024-12-27,?id22=667655,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-603-01326-B-001P",2024,12
110,2024-12-27,?id22=667653,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-602-01326-B-001P",2024,12
111,2024-12-27,?id22=667651,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-601-01326-B-001P",2024,12
112,2024-12-27,?id22=667649,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-600-01326-B-001P",2024,12
