,date,web-link,text
81,28.12.24,?id22=667715,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-43-01793-A-001P"
82,28.12.24,?id22=667713,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-42-01793-A-001P"
83,28.12.24,?id22=667711,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-41-01793-A-001P"
84,28.12.24,?id22=667709,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-40-01793-A-001P"
85,28.12.24,?id22=667707,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-39-01793-A-001P"
86,28.12.24,?id22=667705,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-38-01793-A-001P"
87,28.12.24,?id22=667703,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-37-01793-A-001P"
88,28.12.24,?id22=667701,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-36-01793-A-001P"
89,28.12.24,?id22=667699,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-35-01793-A-001P"
90,28.12.24,?id22=667697,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 6-1410-01000-B-001P"
91,28.12.24,?id22=667695,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 6-1409-01000-B-001P"
92,28.12.24,?id22=667693,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 6-1408-01000-B-001P"
93,28.12.24,?id22=667691,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 6-1407-01000-B-001P"
94,28.12.24,?id22=667689,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 6-1406-01000-B-001P"
95,28.12.24,?id22=667687,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 6-1405-01000-B-001P"
96,28.12.24,?id22=667685,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 6-1404-01000-B-001P"
97,28.12.24,?id22=667683,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 6-1403-01000-B-001P"
98,28.12.24,?id22=667681,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 6-1402-01000-B-001P"
99,28.12.24,?id22=667679,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 6-1401-01000-B-001P"
100,28.12.24,?id22=667677,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 4B02-870-01000-B-005P"
101,27.12.24,?id22=667671,"О присвоении ISIN кода облигациям ООО ""ОЙЛ РЕСУРС ГРУПП"", выпуск 4B02-01-00146-L-001P"
102,27.12.24,?id22=667669,"О присвоении ISIN кода облигациям ООО ""СФО БКС Структурные Ноты"", выпуск 6-62-00508-R"
103,27.12.24,?id22=667667,"О присвоении ISIN кода облигациям ООО ""СФО БКС Структурные Ноты"", выпуск 6-61-00508-R"
104,27.12.24,?id22=667665,"О присвоении ISIN кода облигациям ООО ""СФО БКС Структурные Ноты"", выпуск 6-60-00508-R"
105,27.12.24,?id22=667663,"О присвоении ISIN кода облигациям ООО ""СФО БКС Структурные Ноты"", выпуск 6-59-00508-R"
